show,year,genre,rating,votes,runtime,gross
"Alors, heureux?","2006 TV Movie",Documentary,6.8,7.0,41.0,""
Alphablocks,20102016,Animation,7.8,51.0,5.0,""
"Als de dijken breken",2016,Drama,6.6,778.0,45.0,""
"Alt Love Building",2014,Comedy,5.9,221.0,115.0,""
"Alta mar",20192020,"Crime,Drama,Mystery",7.47,520.4,3.33,""
"Alter Me",2020,"Drama,Romance",5.7,53.0,91.0,""
"Altered Carbon",20182020,"Action,Drama,Sci-Fi",8.0,149002.0,60.0,""
"Altered Carbon: Resleeved",2020,"Animation,Action,Crime",6.5,5301.0,74.0,""
Aluna,2012,"Documentary,Adventure",7.7,150.0,89.0,""
"Alvin and the Chipmunks: The Squeakquel",2009,"Animation,Adventure,Comedy",4.5,45491.0,88.0,219.61
"Alvinnn!!! And the Chipmunks",2015,"Animation,Comedy,Drama",4.5,1226.0,11.0,""
"Always Be My Maybe",2019,"Comedy,Romance",6.8,49867.0,101.0,""
"Aman Ya Sahbi",2017,"Comedy,Musical",2.8,35.0,79.0,""
"Amanda Knox",2016,"Documentary,Crime",6.9,22474.0,92.0,""
Amar,2017,"Drama,Romance",5.2,4083.0,105.0,""
"Amar y Vivir",2020,"Drama,Romance",7.0,123.0,0.0,""
Amateur,2018,"Drama,Sport",5.9,3972.0,96.0,""
"Amazing Hotels: Life Beyond the Lobby",2017,Documentary,7.8,329.0,60.0,""
"Amazing Interiors",2018,Documentary,6.7,723.0,0.0,""
"Amazing On The Inside","",Reality-TV,0.0,0.0,0.0,""
"Amend: The Fight for America","I 2021","Documentary,History",7.05,542.0,0.0,""
"America: The Motion Picture",2021,"Animation,Action,Adventure",5.7,4485.0,98.0,""
"American Crime Story",2016,"Biography,Crime,Drama",8.4,83137.0,42.0,""
"American Experience",1988,"Documentary,Biography,History",6.7,117.5,71.5,""
"American Factory",2019,Documentary,7.4,19411.0,110.0,""
"American Factory: A Conversation with the Obamas",2019,"Documentary,Short",5.2,261.0,10.0,""
"American Horror Story",2011,"Drama,Horror,Thriller",8.0,286488.0,60.0,""
"American Jesus","","Action,Adventure,Drama",0.0,0.0,0.0,""
"American Masters",1985,"Documentary,Biography",7.8,142.0,87.0,""
"American Murder: The Family Next Door",2020,"Documentary,Crime",7.2,22404.0,83.0,""
"American Psycho",2000,"Comedy,Crime,Drama",7.6,517014.0,101.0,15.07
"American Son",2019,Drama,5.8,6554.0,90.0,""
"American Vandal",20172018,"Comedy,Crime,Drama",8.2,28093.0,34.0,""
"American Violence",2017,"Crime,Drama,Thriller",4.5,1727.0,107.0,""
"Amit Tandon: Family Tandoncies","2019 TV Special",Comedy,7.1,199.0,72.0,""
Amnesty,II,Thriller,0.0,0.0,0.0,""
Amo,2017,Crime,6.5,385.0,0.0,""
Amok,"I 2014",Drama,5.6,131.0,84.0,""
"Amor con fianza",2021,Reality-TV,0.0,0.0,0.0,""
"Amor de madre",2022,Comedy,0.0,0.0,0.0,""
"Amy Schumer: Growing","2019 TV Special",Comedy,5.2,3617.0,60.0,""
"Amy Schumer: The Leather Special","2017 TV Special",Comedy,2.9,9496.0,57.0,""
"An Act of War",2015,"Crime,Drama,Thriller",5.2,1422.0,99.0,0.11
"An Affair to Die For",2019,"Horror,Thriller",4.8,1853.0,82.0,""
